complaint_text,category,priority
"Comcast is the worst company in the US. I moved and wanted my telephone services ported. Comcast has not done so. I spoke with several supervisors. They assured me this matter would be taken care of. I spent several hours on the phone still not resolved. I went to the Comcast store, spoke with a team leader **, and she assured me this would be handled. Still no phone service. This company should be put out of BUSINESS. CLOSE THE DOORS. THEY HAVE NO CUSTOMER SERVICE SKILLS. Very disappointed. SMH.",Other,High
"    This new format for comcast is really  bad. It really doesn't work well at all.      Is there anyway  to use the old format for E-mail?  The nam is smart zone=bad   E-mails not complete, disappear and   screwey things that happen.",Other,High
"   I have reported this to the FTC, FCC, BBB, the Comcast SVP of Cstomer Operations, the State of New Jersey Board of Public Utilities and now here - and I will keep on going until something gets done! Today 07/27/2008 I called your Customer Service department to terminate only the phone portion of my Comcast Triple Play bundle, after having had QUITE a few service issues with the (lack of) service provided.  The Agent, Damien whom I spoke with at approximately 14:25 informed me there was no supervisor available for me to speak with, even AFTER I had informed him I intended to contact the Better, Business Bureau.  I was so unsatisfied with the outcome of our conversation that not only DID I file a complaint about Comcast with the BBB, I also filed one with The State of New Jersey Board of Public Utilities and will continue to search other mediums where I can report and/or complain about your company until we reach a satisfactory resolution to this problem. Here's what that call related",Other,High
"I had a large Sony TV and I went into Comcast saying I want an HDTV box and service. I started having problems right away. The TV started losing picture and sound with digital squares appearing. I had made about 15 calls; they wanted me to unplug my TV to reboot the box. What a pain in the **. This is typically what Comcast will do every time you call them with a problem. Five times, Comcast came out and each time they said they fixed it. The 4th time, a girl came out and said my TV was going bad! Duh! Just imagine what I did. I went out and bought a new one. Then I found out the new service has a refurbished box. Just think: a new service with an old box. The 5th time they came out, the Comcast service guy said I did not have an IP address. Now, several months later, I am having the same problems. I’m tired of talking to people not from the United States saying unplug my box and reboot! PS: I sold a perfectly good Sony TV and a Sony surround sound system for a loss of $500.",Other,High
"I have gone to the Comcast building several times but I'm so tired of the staff treating me bad. I ask to speak to a supervisor but they tell me they are the supervisor. We are all human, they have a regular job just like me and don't think it's fair to be treated like that. I have tried calling but there's no one available. But would really like for a higher staff at Comcast do something about the staff.",Other,High
"According to 24/7 Wall St and research survey group Zogby Analytics. Polled adults regarding the quality of customer service at 151 of Americas best-known companies in 15 industries. ""Comcast has had bottom-ranked customer service for seven consecutive years. Comcast had the worst customer service reviews of any company this year by a wide margin. WORST CUSTOMER SERVICE. 1. Comcast > Pct. ratings poor: 28.3%. At 28.3%, more respondents ranked their experience with the company as poor than any other company. Furthermore, 54.4% of those surveyed claimed that their overall customer experience was negative, nearly 10 percentage points higher than the next worst rated company. This is Comcast's seventh consecutive year on the Hall of Shame, and its first year at the top"".Business Insider rates Comcast #6 for the WORST CUSTOMER SERVICE. CheatSheet rates Comcast #1 for the WORST CUSTOMER SERVICE. According to the American Consumer Satisfaction Index's Comcast #3 for the WORST CUSTOMER SERVICE",Other,High
Why the hell would this company hire people from another country when so many people in America need jobs! It is so damn aggravating... And they all change the policies by the minute. If Uverse would come in to my area I would def change in a heart beat! Comcast/Xfinity please get your ish together!,Other,High
"I tried contacting Comcast/Xfinity's service phone number. The person who answered was unable to help and when I asked to speak to a supervisor, I was told the wait time was 10 minutes. In the meantime I asked to speak to someone in the United States. He said he would give me the number of someone the the US (in other words, Comcast outsources their employees). When I called, it was the same recording! I called the first number back, and asked the gentleman with the thick accent where he was located. He hung up on me!",Other,High
"After Comcast lost some CBS shows (I don't know the details) I was suddenly not able to set up series recordings. OK but then I went through and set them up week by week. The recordings were dropped many times. Suddenly I couldn't rewind a show on WTTV. Couldn't pause a show, I did an online chat and then the ""person"" I was chatting with just stopped talking to me. Said I had left the room. I'm switching to AT&T. My parents are very happy with them. I can't get a hold of anyone local on the phone. This automated phone service is crap! I'm done!",Other,High
"I have recently ordered two movies (and several more in the past) from On-Demand that were shown to be close captioned but were not. I am deaf and could not enjoy the movie without the close captioning. It is not right that I should pay for movies that I cannot enjoy. Also, it is very frustrating to select a movie that states it is close captioned and then find out I cannot watch it. The two movies were ""Real Steel"" and ""The Thing 2011."" I have complained about this before. You need to ensure that if a movie listing indicates that is close captioned with the CC symbol that it actually is.",Other,Medium
"Over the past year I have experienced service disruptions which Comcast (Xfinifty) identified as highly localized (only on my street, affecting less than 5 houses).",Other,Medium
I am fairly certain that Comcast (Xfinity) went to the new format to make it harder for you to go anywhere other than within the Xfinity System. Not sure why but their TV Listings and ability to program from there were very workable. They did away with all of the TV schedule filters and various time elements. IT SUCKS BIG TIME! I have been a customer for about 30 years. I think everyone who has been with them for any period of time knows that new subscribers will always get a better deal. Customer loyalty is worth zero to them! I am anxiously awaiting full service Google cable!!!,Other,Medium
"When watching Comcast television shows I sometimes need to use the on-demand feature to catch up on the show I missed. When doing this I take note of the length of the show and whether the show can be fast forwarded through commercials. I try to not watch shows that can't be fast forwarded but occasionally it's necessary. If I wait more than a week, some shows have less commercials and show up as a shorter time than they had when originally aired. Lately I've noticed that Comcast lies about the length of the shows it shows on on-demand. One hour shows are presented as 45 minutes, but when viewed, the on-demand show continues to stretch out in time to 55 to 56 minutes in length. They pretend to cut commercials but really do not. I suppose this stops a lot of people from buying DVR's.",Other,Medium
"I just switched to Xfinity from U-verse. The DVR from Xfinity is in one word ""terrible"" as compared to the DVR from U-verse. The issues that I have discovered about the DVR is: when you record a 30-minute program, it only records 29 minutes. If you record a program that is 60 minutes long it only records 59 minutes. You must go and add in 1 or 5 minutes to record the tail end of a program. U-verse automatically adds on 2 minutes. There is no ""STOP"" button on the remote just a pause/play button. If you are watching a recorded program and you decide to stop and delete it you have to pause it, go back to the Xfinity button, go to saved programs, select the program highlight, and delete it. Then you have to permanently delete it. Too many steps. U-verse has a stop button and you can delete it immediately. Another issue I have is that there is no list of programs (series) that you can review from time to time to see if you don't want to record anymore. U-verse has that feature. The reason I",Other,Medium
"During the 20 months that I have had Comcast/Xfinity there have been many times that I've called their tech support for the issue resolved. So, I looked at my phone records and see that since Nov 13, 2015, I have called or received issues. Most of the problems have been solved leaving only a few that an answer was never provided. Calls from their tech support 32 times, using 334 minutes of my phone time (at $0.29/min that comes to $96.28 in call time). In general I believe the tech support is well done, it's just that it is very annoying that there are so many calls necessary and that many of the issues are repeats.",Other,Medium
"Keep getting these calls from Comcast Sales, this guy trying to sell better service for extra $$. I said, ""I am not interested,"" and this guy hang up me just like that. Now I am more than happy to pay extra and move on to Verizon on all 3 houses. Watch out for those. ",Other,Medium
I called Customer Service 4 times - 4 times!!! And each time I had to go through this lengthy call flow that was so ridiculous but anyway each time I held and each time they would drop me off or end the call without service!!! Each time!!! After going through the call flow and each time never getting an opportunity to speak to anyone because they kept me holding forever and then the phone would just go dead like someone picked up then hung up!!! Worst service ever!!,Other,Medium
"My daughter had DirecTV and even with the basic package we were able to see tv with hd like quality. She moved to Comcast, they offered a package. The dvr were so expensive that me and kids got a small box quality? It looks like an 80's tv. Stinks.",Other,Medium
Why have on the website that you have 24 hour service. When I called at 6:00 am your electronic voice says that you are closed? You make it hard for a person to speak to any customer service person. You are so convoluted in your advertisements. I probably will change service eventually - I cannot wait. The public have other choices.,Other,Medium
"While watching shows, you can't rewind, fast forward, or anything. I hate the customer service and waiting 30 minutes! Always more than one problem... I just hate Comcast!!!",Other,Medium
Want to stop service but can't because they only have hours during week like bank hours. That suck.,Other,Medium
"Comcast has left me waiting on 2 occasions to resolve a line issue and has yet to resolve this. This is on hold for several months. Also, on 10-10-12, a tech came to move service from one floor to another and did not complete his work as he claimed he did not have the full order. I have lost 2 days of work because Comcast has not shown up and not giving me a courtesy call back at the least. We are now on schedule for 10-14-12 for a repairman to follow up. I honestly have lost faith.",Other,Medium
"Well, I would like to know what I can do or where I should complain about the fact that they are putting on Nascar racing on instead of Friday Night Fights (boxing). My dad is old (92), and his lone pleasure is boxing, and that's one of the few things he has to look forward to. I don't know if it's ESPN or the local affiliate's programming that is the cause of this. As long as I'm here complaining, I would like to say that the box that Comcast forced us to buy (we didn't need it before) is emitting a high-pitched squeal that is very irritating and it won't go away.",Other,Medium
"Over 6 hours spent trying to get new DTA boxes to initialize. Comcast does not have customer service. They are a monopoly and know it and respond to customer service accordingly, that is to say they do not respond. A class action suit is in order in the Lee County, Florida area.",Other,Medium
"It never fails when you want to speak to a customer rep, you always get this stupid recorded messages ""we are sorry, currently we are experiencing higher than normal calls"". ***! This message is received every time I call. So if the message is by default or for most calls then they are not experiencing ""higher than normal calls at all, it's just that you are understaffed. I'm currently on the phone for 37 minutes and counting. Seriously, how long does Comcast expect a customer to wait? End result is I will either get cut off or give up. Total waste of my time!",Other,Medium
"DVR wont record. Some shows we try to watch all we get is a black screen. I have had wires changed then it was the pole have had five DVR boxes. Comcast will not compensate us for shows missed, missed work waiting on them send unprofessional techs, hitting on wife and daughter-in-law. I requested a supervisor to return call. I called back four days later. They would not help and very rude. I've been loyal customers for five years. I am ready just to switch to AT&T. ",Other,Medium
"Faulty cable wiring brought down my electric line and now I must pay.  Because of faulty wiring, done by Comcast, my electrical wiring was brought down during a storm.  I've gotten multiple estimates from electricians.  But Comcast's insurance company (Liberty Mutual) will not pay the full amount, leaving me to pay the difference.  I'm being punished for choosing Comcast as my provider.  The estimates I got came out to $1500.  Liberty Mutual is only willing to pay $1125.  I spoke with Comcast.  They deny responsibility for paying the difference. ",Other,Medium
"Well I am a happy camper. I got a hold of someone who went above and beyond and resolved the problem with our phone. We got our old number back and was compensated for the inconvenience. I spoke with Mike yesterday and he told me it could take up to a week. However this evening he called us and it was fixed. He took it personal that Comcast made the error and hadn't corrected it. I did contact the FCC and file and complaint along with our local media watchdog, but will let them know it has been resolved. He also told me if we have any more problems to contact him directly immediately.",Other,Low
"I was in shock when I was greeted as soon as I entered. Not even 10 minutes waiting, I was called by my name and greeted again by Ms. ** at 9950 NW 6ct, Pembroke Pines, Fl. I felt important and appreciated and I was completely satisfied. This never happened before in the years I have been coming to Comcast. And for me to write a review means it was worth it. Thank you (Comcast employees) for making my day beautifully.",Other,Low
"Always solves the problem so I have, to date, no complaints. Most of the time the service is very good with sporadic instances of incorrect programming. Love the service. Most of the time the service is very good and occasionally have to call technical support to cover programming issues. Have complained to Comcast in the past that several times after ordering PPV the station was not programmed as promised. Requested that they improve their service in this regard.",Other,Low
"Products and services are great. Some issues w/ overseas reps when I do have to call, but that is rare, so otherwise all good. The reps in the States are phenomenal! Have patience; in a company that big, things are bound to fall through the cracks from time to time, but they work hard everyday to make things right.",Other,Low
"TV cable was out as well as landline. Tony (Tech# **) was on time, professional, courteous and friendly. Briefly explained problems so I understood. All together it was a 5 star experience. (10-03-2014)",Other,Low
"A great idea for your company would be to lead the pack with the volume control on commercials. I am hearing impaired, adjusting the volume every commercial is a pain in the butt. Why wait until it is law? My family is not hearing impaired. They would like me to join them in the family room instead of going to my room to view TV. I hope to live another year until you must comply with the law. Thank you. ",Other,Low
"This is only the third review I have written (the first two were positive), but I have to share my negative experiences with Comcast. I should have noted the red flag and fled to a more reliable company after my first call to Comcast... It was an inquiry about the different packages available and the price. I was on the line for over an hour - on and off of hold - and I didn't get any information. The agent told me she would call back with the information, and she did not.The next day (Sunday) I called again and was quickly able to get a price and schedule installation (I don't know what the woman was doing the previous day while I was on hold!). When I scheduled installation for the earliest date (five days later on the Friday), I explained that my contractor would meet the Comcast technician. The Comcast agent told me the technician would call thirty minutes before arriving. At this point, I emphasized that this was essential because the contractor might need to collect materials. Th",Delivery,High
"My payment was late and I received a notice to pay by August 5th to avoid interruption of service. I called and paid my past due balance on the 4th (I was out of town taking care of sick grandparents and my house-sitter told me about the notice). On the phone, the customer service rep informs me that everything's already been shut off with sort of a ""too bad, so sad"" type of attitude. Thinking it was ridiculous, but understandable since my bill was paid late, I went ahead and paid another $205.00 for installation of new service (note the cost of service went up from what I had before). We set an appointment for 8/08/09 between 8 and 11 am for installation. When I got home, I saw that notice indeed said that I had until the 5th to pay. I called Comcast back wanting to keep my old phone number and was informed that they didn't even have an appointment set up! I could hear the woman laughing at me over the phone. She thought it was hilarious and refused to send someone out on the original",Delivery,High
"Nine phone calls to Comcast about a simple connection issue with e-mail. Each time, I had to call a technician at 1-800-266-2278 number, which is the only number provided on the billing or website. Tech was not able to help. After being on-hold for over 40 minutes, the tech disconnected me and I had to start over. Person who stated he was no longer a tech tried to help but was unable to. I was 36 minutes on hold prior to speaking with him. Tech changed password on account but we still could not access on our end. He gave us the number that we can call him on to get assistance. (I had to start again.)I told Comcast to send a tech to my home after getting the complete runaround for hours. Scheduled appointment for the next day is between 2-4pm. The Comcast call center called to make sure we were here which we were, but then they never showed up. But we got a call from Comcast asking how the tech was. I called to complain that no one showed up. Employee stated they would be out and would ",Delivery,High
"He made a call and told me that the repair would be done between September 25th and October 9th. But they never showed, never called, and I never heard from Comcast until October 9th when I received an email informing me that the new repair date was October 16th. But they never showed for that one either and I never heard from them. To make a long story not so long, they also missed the next two appointments, the latest was yesterday October 21st. Never showed, never contacted me. Today I got an email from them stating that the repair was now rescheduled to be completed by November 13th. Today is October 22nd and this has been going on since early September and nothing's been done. And didn't think of it but no one ever gave me an order number either.",Delivery,High
"These guys are scammers! Their customer service representative (of various departments) kept transferring me from one department to another for 4 hrs to activate my account. The equipment was installed by a technician (who didn't show up on the appointed day and wasted my work day) 2 weeks ago so it should have already been active but of course, it wasn't. I feel completely cheated, swindled and held hostage by Comcast who hold a very unfortunate monopoly on TV and internet services in my area or I would have ditched them ages ago. Impossible, arrogant, cash gouging and simply modern day piracy is how I would describe their business practices. They need to be stopped through legislation or collective people power.",Delivery,High
"I ordered service on 08/22/2011, scheduled to be installed 08/27/2011 between 8:00AM and noon. When no one showed up by noon and I had not been contacted, I called Comcast. The representative informed me that my order had been canceled because my address had been deemed unserviceable. I received no prior notification that my appointment would not happen as planned. I informed the representative that there must be a mistake, my next door neighbor has Comcast service. I inquired as to how the unserviceable decision was reached, she could not provide that information. I requested a technician to come to my house and verify physically that it is not serviceable and was told that this was not possible. This address has never had service so I'm sure it doesn't pull up in the computer and neighbors on both sides of me have the service. ",Delivery,High
Comcast service techs come out to perform work and do not wait to confirm it is repaired. 8 hours off of work to be there for two tech visits and both times the repairman left and it never worked. Customer service has been unresponsive. Policies for consumers are different depending on the call center you reach. Never received call back from service manager and still not repaired and have lost all previous recordings due to swap of box. Customer service rates as the worst I have ever experienced.,Delivery,High
"I recently moved to Alvin and made an appointment for Comcast to set up the internet connection. When the technician arrived, she said that because some of the neighbors had cables hanging low, mine had to hang low (ended up 4 feet off the ground) as well but that it would be fixed in a few days. After a couple days, the cable was only 2 feet off the ground and I had to step over it several times a day and tripped and fell one time. A week later, nothing had been done. I called Comcast, and they said they would send someone. Late in the day, no one had arrived. I called and they said there was no guarantee is would be fixed that day. I said it was a danger and I had already been hurt. They did send out a technician who buried the cable and who told me it should never have been left that way by the first technician.I emailed Comcast and told them how I felt and mentioned to them a crimped cord in the front yard. They never even replied. I feel like Comcast puts my safety last and I agre",Delivery,High
"On February 9, 2010 about 2:30 pm, technician for Comcast came to my home to install new internet service but he changed some of my software and added new software I did not need or want without my knowledge, plus the software he added, my computer is not performing as it was.",Delivery,High
For the last two weeks I have trying to get a tech to my house to exchange my DVR and cable boxes and start internet (modem and router). The first time the tech was to visit he called and asked if he could reschedule because of the weather. I assured him that would be fine to come that Thursday. Thursday he arrived late and then proceeded to say he could not do the work and he would have to come back.Now the next appointment was for Saturday between 8:00 and 11:00 a.m. Of course he never showed up or called. I was extremely upset about the lack of courtesy and professionalism. Now I had to call Comcast on Tuesday to see why no one had called and why the tech had never showed up. They said a technician would come on Saturday. Of course no one ever showed up or called. Here we are again on a second Saturday that I have had to waste waiting for someone from Comcast to shop up. Comcast is extremely incompetent.,Delivery,High
"July 26, my services went out. I spoke with numerous representatives that all told me different information. Finally once I was able to talk to an supervisor they explained to me they were going to create an expedite ticket which would have an dispatcher try to get someone out to my house before my schedule date which was today. Well no one showed up and the technician lied and said he came to the address and fixed something outside, which is a lie. No one came to this address. Also I spoke with another supervisor and she sent a request for the technician to come back to my address. Well he did not come and I was promised a supervisor would call from the dispatcher office. Well no one called back. Now, they are saying I have another appt Wednesday which is July 1st. I have been without phone service for over 4 days. I am highly upset with this customer service.",Delivery,High
"Comcast is the most terrible cable service provider out there. I encourage everyone to go with Clear, Verizon, or any other service available. First, I did not realize that every time a technician came out to fix a problem that I would automatically incur a service charge. Why did I not think I would incur a service charge? Because the problem was Comcast's fault from the beginning. When I first chose Comcast as my service provider (which may change in about 2 weeks), I had a technician come out to install a cable. Unbeknownst to me, the technician proved to be incompetent and did not wire my house properly. Time passed, and my internet connection worsened. Thinking it was my router, I happily accepted a Comcast router (that I paid a $10 shipping fee which they neglected to tell me about). The problem stopped for a time. After some bad rainstorms featuring high winds, the problems began again. Thinking I could call Comcast for help, I decided to do so. They sent a technician out. He wa",Delivery,High
"I have been without internet since last Thursday (6/25). After numerous calls to Comcast, they agreed to send a technician out on Wednesday, 7/1. They agreed to call when they were 30 minutes away and did call at 1:45 pm. I got home at 2:00 pm and waited until 2:30 to call Comcast to find out where the tech was. The woman I spoke to told me their tech had already come and that I wasn't home. When I told her that I was told I would be given 30 minutes from the time of the call, she said she got in touch with the tech and he would be on his way back to my home before 3pm. At 3:15, I called Comcast again and was on hold until 4 before I was told the tech would not be coming and the person I spoke to before was incorrect when they told me the tech was coming back. Then I was told I would have to reschedule for Monday, 7/6! When I finally spoke to a supervisor, after my 3rd try because I was hung up on and then pushed back to the main menu, she basically told me that they aren't allowed to ",Delivery,High
"I was a customer for over 25 years and decided to try it again. Nothing has changed, driver was here at about 1 pm (appointment was set for 12 to 2). He showed up at 1:00 stood by his truck for about 10 minutes and then left. I called Comcast and the driver said he came to my door and knocked, which is a flat out lie because I was working in the front yard. I have 2 dogs in the house that if you even walk up my sidewalk the dogs bark like crazy, ALWAYS. I tried to speak to someone in management, the person on the phone was not going to let that happen. This is worse than when I dropped them a year ago.",Delivery,High
They scheduled three appointments in the same week to repair my cable reception and failed to show up for any of the three appointments.I do not have use of my cable tv,Delivery,High
"First of all, I wasted almost one Saturday dealing with an installation that never was completed. I ordered your triple play thru the rep at our apartment complex. The security installation was quick and efficient. The cable and internet installment came after the security installer and was fifteen minutes late for the appointment. So far, not so good. When the guy finally did show up, he didn't have any equipment with him and then said I can't do anything with this because the security installer has to be present. I call the security installer and he says that is not correct. The cable installer makes excuses and doesn't attempt to install the cable, and after arguing with the guy, he leaves. I call my rep Kristin ** at ** and she calls her supervisor, and I was told the installer would come back today and install cable. Well 4 hours go by and I call her and she says she is still working on it. She sends me a message about an hour later and says it can't be installed until Monday, pos",Delivery,High
"I scheduled a day off work to be home for the installation. Although my scheduled time was 3pm - 5pm, I was told that if the technican finished early on another job he may call to complete my job order prior to the scheduled time. While the technician was still at my home, I called Cox Communication to complain of the problem. They were also amazed at the fact the ceiling had a limitation for installation from the PRM Company. How many other future potential clients of Cox Communication are disatisfied with this type of service?",Delivery,High
"Hating AT&T, I decided to try Comcast. They were so bad with misleading information and broken promises during the long install process, that I just cancelled my order and decided to live with what I have. I escalated to the Chairman's office (Brian Roberts) and dealt with a team of flunkies who told me they would care for the problems with the install appointment window. I left my trust with them and they never called back. I called their number many times and cannot even leave a voice mail for the chairman's escalation office. If this is how they treat NEW business, I can't imagine what kind of dirt you must be as a paying customer. My prediction - over the next 10 years, Google will have this oligopoly of incompetence beaten and beaten badly. Google will provide both voice and internet service and the usuals will finally get what they deserve.",Delivery,High
"I scheduled cable service to be installed around 9-12 on a Tuesday morning. No one ever called or showed up between those times. I called Comcast to find out what happened and the rep said the tech noted that he could not find my location. I asked why he didn't call me and she replied that he did and I did not answer which I thought was strange as I had the phone next to me all morning and I made no calls and no other calls came in. The rep said she sent an email to dispatch to try to get someone out to me and would call me back in 20 minutes. 40 minutes later, still no call.I called back and the rep said that dispatch had not responded and she would call me back in another 20 minutes. At this point, I am getting furious as I am wasting my whole day waiting for the tech. She said she could reschedule my appointment and I stated that I should not have to do that as I already had an appointment that the tech did not service! She said the only thing I could do then was wait for dispatch. ",Delivery,High
"Back in February 2010, I switched our telephone, high-speed internet, and cable TV services over to the Comcast Xfinity plan.  My previous provider on the phone lines was AT&T.  Everything seemed okay at first.  But in July, I accidentally set off my alarm system.  We did not receive the customary call from our alarm system service, so I called them.  They stated that it was probable that Comcast had not installed the line for the alarm properly and I should call them.  I called Comcast and arranged for a technician to come on a Saturday.  The young man arrived, looked around, messed with some wires, and then asked me to test.  It still did not work.  A woman from the alarm system company told us that it was still a problem with Comcast.  The young man said she didn't know what she was talking about etc. and that I should have a technician from the alarm company come out.  I did this, and the young man promptly took off. After a long rainstorm, I went into the backyard and found the ph",Delivery,High
Was told my problem was with my 4-year old Magnavox TV. Power button would not come on with or without remote. Was told I needed to contact a repairman. I never had this problem until Comcast install new digital box. They did not install it properly or refer to Magnavox owners manual to reset TV settings after digital installation. ,Delivery,High
"June 22, 2016 I talked with Jewelian **, a Comcast Sales Representative, a conversation that was over an hour. I decided to install internet, TV, and security, install scheduled for 7/2/2016. After several emails to Jewelian **, an attempt to nail down the Saturday install time, I continued to be told the details are being worked on. Friday, July 1, 2016 at 2:50 PM I received an email from Jewelian, informing me that there was no installer available and my appointments had been cancelled. Unfortunately, security is a priority and my 4th of July plans had been canceled so I could take care of this priority. Today, I talked with Ozar to determine what was happening to my install. I was informed that the dates I had were wrong, never was I promised an install of July 2, 2016. Maybe Comcast should return to the recording/emails and really find out what was promised. Believe I will take my service elsewhere!",Delivery,High
"I manage IT for a non-profit. We have multiple business and residential accounts. Working with the business side isn't as bad, as you have a rep you communicate with directly. On the residential side, though, it's sometimes a complete disaster just doing basic things, like getting service installed at a house. They either don't call back to schedule installation, or they schedule it on their own and show up when nobody is there (just happened yesterday). Sometimes they'll call me before they get to an appointment so I have time to meet them, sometimes they don't, then they wonder why nobody answers the door.Furthermore, trying to move existing service from one address to another is nearly impossible. I'd rather bang my head against a wall repeatedly than deal with this company. WORST company I've EVER dealt with, and dealing with Comcast is by FAR the worst part of my job. I deal with so many different vendors and service providers. Comcast makes companies like AT&T look like saints.CO",Delivery,High
"I had previously left Comcast in December of 2012. After many years as a Customer, I could no longer tolerate the long wait either on the phone or at the store. There were many billing errors, order errors and service errors, each requiring a lengthy investment of time to correct. I decided to give Comcast a second chance last month. It did not begin well. I had ordered a cablecard, but it was not put on the truck. When I asked to cancel the cablecard order, the installer told me that dispatch had cancelled the entire order. After several phone calls, the installation proceeded, but took approximately three hours. After installation, I noticed that a very nice feature I had with Uverse was not available on Comcast: the ability to have Spanish CC with English audio. I called. The tech stated that the box I had did not have this capability but would send me one that did with no shipment fee.A week later nothing had arrived. I called tech support again. The representative found nothing in",Delivery,High
"I haven't been able to watch the free shows that are on demand since I had the cable. I like to watch certain programs when I'm at my boyfriend's house or my mother's because it seems it's the only way I can watch it. I am tired of not being able to watch it at my own place! I called a number of times and tried to do some process over the phone to update my box and nothing gets fixed. I am never really home since I work full time and have a son. We constantly have a number of things to do after I get off work. I took the time to make an appointment so someone could come out and fix the problem. My appointment was on Sunday, 07/12, at 4 to 6 and I even received a phone call from a representative confirming that I would be home. I called at 5:45 p.m. because I didn't see anyone arrive and they said the person had just left their last job and were on their way. The technician never showed up! I then called and spoke to other representatives on the phone and they said the worker came out a",Delivery,High
A technician came on my property on either the 3rd or 4th of March and I assume to do some repair work and had to dig in the front of my house. I called that evening after finding this out and made a complaint because in the process of helping a customer or establishing service(I am not a comcast customer)he did not place the boards that I had as a border for guest parking back where he found it and did not pat the dirt back which created an area that holds water when it rains. I explained that the digging part was not a problem but not putting things back the way they found it was. I was told that someone would contact me within 24 hours and I am still waiting for results.,Delivery,High
"   We have been Comcast customers since we moved into our new home last summer. Unbelievably, we have had ongoing problems with our phone, Internet, and cable services for an entire year! I am planning on canceling all of our series with Comcast in the very near future. At this moment (11:27 a.m.) I am waiting to speak to yet another supervisor who has no idea why my appointment today from 8:00 to 12:00 is not in the computer. The lady I have been speaking with is trying to convince me that I scheduled an appointment when I will be out of the country next week. I have scheduled service calls at least three times, written them down on my calendar, and waited at home for nothing. Each time I call to see what happened, I am told either there is no appointment scheduled or I have the wrong day. We have had our house rewired several times, our yard has been dug up, and my husband and I have taken off work to wait for technicians who never show up. When technicians do show up, there is no gu",Delivery,High
"I am completely displeased and in disgust of the unprofessionalism of your business!!! Not only have I still NOT received my cable installment that was scheduled 2 weeks in advance and planned to be installed on Friday, Nov. 6, 2015, but your customer service reps just continued to lie and waste my time. Needless to say no one ever showed up Friday night after me waiting over 4 hours! (And it was my daughter's birthday.) No call to apologize for not showing up. No prompt service to show up the next day in an effort to accommodate my time wasted and lost. No one has made a peep! And when I've gone the route of calling customer service, they let me know they can never reach your dispatchers, put me on hold over and over, only to tell me they will call back which they never do. You can imagine my frustration at this point. The quality of your service is below poor. You clearly do not care about your customers or potential customers for that matter. As a result I am opting to look for serv",Delivery,High
"I tried to get hold of Comcast installation department and went through CSR and supervisor but to no avail. They do not have any info in regards the installation crew nor do they have a telephone number and/or an email. I had a Comcast technician climb my 6-1/2 ft. fence (because the gate was locked and I was home at the time and no one tried to let me know that they needed to get into the back yard). Also, the access to the poles that were needed was on another property and not mine. I do not have Comcast so I was pretty upset as there is a reason for the locked gate; we have a pool and also two dogs (good thing they were not out at the time). He was there with another technician who eventually knocked on the door (I think) as I didn't hear him.The dogs let me know and when I confronted him about his partner already being in the yard and how he got into the yard, he said he didn't know. Needless to say, they took down my birdhouses and did not put them back up. I had a doctor’s appoin",Delivery,High
Have had Comcast and moved to a new home 1/2/16. Talked with numerous people at Comcast... My service was not stopped at the old address. Did not get a technician to the new address until 1/19... They did not finish and another technician came 1/21 and installed old cable boxes (3). I called several times and new boxes were mailed. As of 2/18 only one of the 3 tvs in my home works sometimes. Billing is still not resolved for the old address. Getting new bills for the new address when I had NO SERVICE and now another technician is coming 1/20 to resolve the problems and am being charged AGAIN for installation??? I cannot believe the customer service had been so poor. Your tagline... the future of awesome... It's definitely in the future because the last 7 weeks have been a nightmare. No one seems to be able to get the service fixed or the billing.,Delivery,High
"I am a new customer and I only ordered internet Xfinity. I was told of all the charges and then today, I get my first bill and they have added a reconnect fee, which I was never told about. I was told there was no installation fee because I was a new customer. I called and, of course, they dance around what I was told and tell me I have to pay the installation fee. This is so unfair and sad that a company as large as Comcast would play these games to get a customer to sign up and then they screw you over with added fees. What happened to honesty and giving a customer what you promised? The guy that came to install the internet couldn't even help me setup my computer because he does not know the Apple computer. I had to pay someone else to come setup my computer. The installer didn't give me a so called welcome package and didn't do anything but connect from the outside. Now, let’s be fair. Should I have to pay for services that the installer had no knowledge of setting up my Apple lapt",Delivery,High
"Placed an order on 8/11/15 for our 3 phones numbers ported to Comcast also internet and TV. We received an email for us to confirm the scheduled Comcast installation for 9/1/2015 between 9 am - 11 am by 11 am. We also received a text message. We also received a call the day before confirming the install. No one showed up, so we called Comcast and were told we were mistaken, that our installation was scheduled for 9/1/2015 between 3 pm - 5 pm. We asked how come no one called to let us know since the video they sent us as preparation for the install instructed us to have our telephone installed to hook up the new service to our phone system. We waited and waited. No one showed up. We call again and were told that there was a problem with the porting of our number that we would be notified with a new schedule to call the next day to find out the status.We call our current phone & internet provider, AT&T to see what the problem was. We were told they had no problem on their side, that all ",Delivery,High
"The advice from technicians has been everything from removing ribbon cables, disabling ALL firewalls, virus scans, etc. (by the way I have a brand new computer with plenty of memory) to the suggestion that my new computer doesn't have enough memory!!!! Dell 8200 series. I have received a host of generic emails, waited for hours on the telephone only to constantly receive a patronizing ""ping"" report and NO real help. I simply do not get what I pay for.",Delivery,High
